시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
인천광역시 부평구 부평동,452-26,452,26,블루밍아파트B동,49.7,202307,19,"17,400",4,2016,장제로76번길 25,,20230919,중개거래,인천 부평구
인천광역시 부평구 부평동,457-1,457,1,삼성캐슬(457-1),59.78,202307,24,"19,000",9,2015,충선로 11,,20230908,중개거래,인천 부평구
인천광역시 부평구 부평동,518-1,518,1,스위트홈1동,44.88,202307,29,"18,300",5,2015,장제로 100,,20230918,중개거래,인천 부평구
인천광역시 부평구 부평동,756-421,756,421,신성미소지움아파트(101~106동),84.872,202307,8,"33,000",13,2005,경인로 858,,20230811,중개거래,인천 부평구
인천광역시 부평구 부평동,140-6,140,6,신영(1동2동),46.73,202307,21,"25,000",1,1983,길주남로90번길 45,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,Jul-65,65,7,욱일,84.16,202307,4,"29,900",3,1990,부흥로243번길 39,,20230728,중개거래,"서울 양천구, 인천 부평구"
인천광역시 부평구 부평동,375-126,375,126,위너스빌2,47.33,202307,14,"19,500",13,2013,주부토로 76,,20230728,중개거래,인천 부평구
인천광역시 부평구 부평동,126-9,126,9,유진마젤란주상복합,75.688,202307,17,"21,000",3,2005,장제로 150,,20230718,중개거래,인천 부평구
인천광역시 부평구 부평동,415-8,415,8,인스테이션,21.94,202307,17,"7,000",13,2012,주부토로 48,,20230725,중개거래,인천 부평구
인천광역시 부평구 부평동,70-78,70,78,창보,84.98,202307,25,"32,500",1,1999,부영로166번길 16,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,135-9,135,9,첼시아파트,59.87,202307,12,"22,800",5,2011,부평문화로115번길 20,,20230712,직거래,-
인천광역시 부평구 부평동,180-24,180,24,태강,54.59,202307,23,"16,000",9,2002,장제로 49,,20230824,중개거래,인천 부평구
인천광역시 부평구 부평동,439-2,439,2,태강CITY,49.92,202307,30,"25,500",13,2018,부평대로 108,, ,중개거래,경기 부천시
인천광역시 부평구 부평동,577-2,577,2,퍼스트City56,49.38,202307,27,"12,400",13,2015,대정로 76,,20230807,직거래,-
인천광역시 부평구 부평동,442-3,442,3,한국,84.02,202307,12,"27,000",7,1992,동수로120번길 11,,20230814,중개거래,인천 부평구
인천광역시 부평구 부평동,442-3,442,3,한국,84.195,202307,19,"30,000",9,1992,동수로120번길 11,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,401-33,401,33,현대캐슬,69.55,202307,4,"18,000",10,2012,부흥북로48번길 23,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,504-4,504,4,현대홈타운(504-4),43.74,202307,26,"19,800",5,2014,부일로 4,,20230920,중개거래,경기 부천시
인천광역시 부평구 부평동,124-21,124,21,MV,57.83,202308,5,"17,250",3,2015,장제로 162,,20230817,중개거래,인천 부평구
인천광역시 부평구 부평동,464-40,464,40,TK리즈빌,48.03,202308,25,"18,000",14,2015,부평대로 105,20230829, ,중개거래,인천 계양구
인천광역시 부평구 부평동,464-40,464,40,TK리즈빌,48.03,202308,25,"18,000",14,2015,부평대로 105,,20230830,중개거래,인천 계양구
인천광역시 부평구 부평동,252-29,252,29,건영캐스빌,80.05,202308,2,"22,500",11,2002,부흥로304번길 17,,20230920,중개거래,인천 부평구
인천광역시 부평구 부평동,222-4,222,4,노블레스뷰,41.14,202308,3,"18,300",11,2015,시장로61번길 6,,20230918,중개거래,인천 부평구
인천광역시 부평구 부평동,222-4,222,4,노블레스뷰,45.19,202308,27,"18,500",3,2015,시장로61번길 6,,20230914,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,76.388,202308,1,"29,500",4,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,76.388,202308,1,"32,000",8,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,50.155,202308,3,"23,700",9,1989,부영로 196,,20230913,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,76.388,202308,3,"31,800",7,1989,부영로 196,,20230908,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202308,9,"34,600",10,1989,부영로 196,,20230823,중개거래,경기 남양주시
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202308,15,"36,000",14,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202308,18,"38,000",9,1989,부영로 196,,20230818,중개거래,경기 부천시
인천광역시 부평구 부평동,64-20,64,20,대림1차,76.388,202308,19,"31,000",8,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,438-9,438,9,대영사이버,67.2,202308,5,"17,500",6,2003,부평대로98번길 15,,20231004,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),52.43,202308,5,"35,000",8,1986,부평문화로 37,,20230830,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),52.43,202308,8,"32,500",2,1986,부평문화로 37,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),52.43,202308,24,"35,700",6,1986,부평문화로 37,, ,중개거래,인천 부평구
